Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2170925,"lb2_G1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782527",SRX1782527,"Gray Camp","Feb 08, 2017"
GSM2170926,"lb2_G3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782528",SRX1782528,"Gray Camp","Feb 08, 2017"
GSM2170927,"lb2_G4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782529",SRX1782529,"Gray Camp","Feb 08, 2017"
GSM2170928,"lb2_G8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782530",SRX1782530,"Gray Camp","Feb 08, 2017"
GSM2170929,"lb2_G9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782531",SRX1782531,"Gray Camp","Feb 08, 2017"
GSM2170930,"lb2_H10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782532",SRX1782532,"Gray Camp","Feb 08, 2017"
GSM2170931,"lb2_H11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782533",SRX1782533,"Gray Camp","Feb 08, 2017"
GSM2170932,"lb2_H12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782534",SRX1782534,"Gray Camp","Feb 08, 2017"
GSM2170933,"lb2_H3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782535",SRX1782535,"Gray Camp","Feb 08, 2017"
GSM2170934,"lb2_H5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782536",SRX1782536,"Gray Camp","Feb 08, 2017"
GSM2170935,"lb2_H6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782537",SRX1782537,"Gray Camp","Feb 08, 2017"
GSM2170936,"lb3_A5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782538",SRX1782538,"Gray Camp","Feb 08, 2017"
GSM2170937,"lb3_A6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782539",SRX1782539,"Gray Camp","Feb 08, 2017"
GSM2170938,"lb3_B12","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782540",SRX1782540,"Gray Camp","Feb 08, 2017"
GSM2170939,"lb3_B1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782541",SRX1782541,"Gray Camp","Feb 08, 2017"
GSM2170940,"lb3_B7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782542",SRX1782542,"Gray Camp","Feb 08, 2017"
GSM2170941,"lb3_C9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782543",SRX1782543,"Gray Camp","Feb 08, 2017"
GSM2170942,"lb3_D11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782544",SRX1782544,"Gray Camp","Feb 08, 2017"
GSM2170943,"lb3_D2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782545",SRX1782545,"Gray Camp","Feb 08, 2017"
GSM2170944,"lb3_D3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782546",SRX1782546,"Gray Camp","Feb 08, 2017"
GSM2170945,"lb3_D4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782547",SRX1782547,"Gray Camp","Feb 08, 2017"
GSM2170946,"lb3_D7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782548",SRX1782548,"Gray Camp","Feb 08, 2017"
GSM2170947,"lb3_E10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782549",SRX1782549,"Gray Camp","Feb 08, 2017"
GSM2170948,"lb3_E3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782550",SRX1782550,"Gray Camp","Feb 08, 2017"
GSM2170949,"lb3_E5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782551",SRX1782551,"Gray Camp","Feb 08, 2017"
GSM2170950,"lb3_E9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782552",SRX1782552,"Gray Camp","Feb 08, 2017"
GSM2170951,"lb3_F10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782553",SRX1782553,"Gray Camp","Feb 08, 2017"
GSM2170952,"lb3_G10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782554",SRX1782554,"Gray Camp","Feb 08, 2017"
GSM2170953,"lb3_G1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782555",SRX1782555,"Gray Camp","Feb 08, 2017"
GSM2170954,"lb3_G2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782556",SRX1782556,"Gray Camp","Feb 08, 2017"
GSM2170955,"lb3_G4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782557",SRX1782557,"Gray Camp","Feb 08, 2017"
GSM2170956,"lb3_G5","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782558",SRX1782558,"Gray Camp","Feb 08, 2017"
GSM2170957,"lb3_G8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782559",SRX1782559,"Gray Camp","Feb 08, 2017"
GSM2170958,"lb3_G9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782560",SRX1782560,"Gray Camp","Feb 08, 2017"
GSM2170959,"lb3_H10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782561",SRX1782561,"Gray Camp","Feb 08, 2017"
GSM2170960,"lb3_H7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782562",SRX1782562,"Gray Camp","Feb 08, 2017"
GSM2170961,"lb3_H9","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782563",SRX1782563,"Gray Camp","Feb 08, 2017"
GSM2170962,"lb4_F1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782564",SRX1782564,"Gray Camp","Feb 08, 2017"
